date,spend,permits,permit_val,starts,completions,manufactured,new_for_sale,months_supply,emratio,pop_level,gdp,mortgage_rate,fed_fund_rate,disp_income,pm_save,consump_durable,new_sold,hp_idx,rent_vacancy,owner_vacancy,week_earning,delinquent_rate,hor,hp_idx_qtr
2020-09-01,662353,1121,23179.135,1105,933.0,96,286,2.5,56.6,260742,97.4332919860023,2.89,0.09,15799.7,2569.3,1817.8,988,225.937,6.466666666666667,0.9666666666666668,1036.3333333333333,2.773333333333333,66.34833538677583,229.6685555555555
2008-01-01,402138,708,9127.794,773,1004.0,95,488,9.3,62.9,232616,101.811192333216,5.758,3.06,11553.4,348.5,1168.4,627,173.132,10.1,2.9,757.0,3.68,67.8,171.57500000000002
2012-03-01,252283,478,8945.187,472,434.0,57,144,4.3,58.5,242604,100.23347507314,3.954,0.11,12431.1,1014.5,1138.0,354,137.905,8.666666666666666,2.1333333333333333,819.0,10.41,65.46666666666667,139.08066666666667
2001-06-01,365905,1252,16222.822,1295,1283.0,245,302,4.2,63.7,214950,99.9236146020631,7.16,4.14,9679.4,343.5,934.1,882,112.796,8.366666666666667,1.8666666666666667,632.0,2.256666666666667,67.96666666666667,113.50533333333333
2010-06-01,250518,425,8307.516,445,684.0,55,213,8.3,58.5,237690,99.4403926119495,4.7375,0.2,11895.0,742.0,1044.1,305,145.72,10.4,2.5,778.0,10.8,66.9,144.70711111111112
2006-10-01,561444,1175,17766.598,1212,1559.0,98,558,7.3,63.3,229675,101.12255493265,6.3575,5.34,11306.0,327.7,1168.3,941,183.198,9.8,2.7,726.0,1.92,68.9,183.6483333333333
2014-04-01,375347,622,13622.317,646,598.0,63,188,4.9,58.9,247439,99.8378627648907,4.3375,0.08,12699.0,901.5,1230.3,403,163.395,7.5,1.9,831.0,7.43,64.7,163.70633333333333
2009-05-01,237188,431,7144.958,408,492.0,48,290,9.3,59.6,235452,97.7102322556867,4.8575,0.22,11826.7,868.3,998.9,376,147.695,10.766666666666666,2.533333333333333,771.3333333333334,8.873333333333333,67.46666666666667,148.01955555555554
2003-04-01,420510,1391,19579.625,1374,1350.0,131,339,4.1,62.4,220540,98.4576357540916,5.8125,1.29,10181.4,426.5,1003.9,1012,130.884,9.6,1.7,659.0,1.83,68.0,131.75566666666666
2008-05-01,381911,633,11691.127,679,879.0,87,451,10.7,62.5,233405,101.595099418774,6.036,2.16,12060.9,826.4,1143.7,504,166.65900000000002,9.966666666666669,2.8,761.0,4.666666666666667,68.03333333333333,165.0988888888889
2014-07-01,372572,643,13952.499,656,630.0,66,206,6.0,59.0,248023,100.218541676581,4.13,0.1,12835.1,953.6,1248.4,402,164.576,7.4,1.8,839.0,7.06,64.4,165.23299999999998
2006-12-01,545011,1198,13987.943,1249,1509.0,97,537,6.5,63.4,230108,101.199866980251,6.135,5.27,11406.8,355.6,1175.5,998,184.138,10.0,2.7666666666666666,730.6666666666666,2.026666666666667,68.56666666666668,184.1634444444444
2016-07-01,476926,718,14966.636,775,744.0,75,236,4.4,59.8,253620,99.8367082505298,3.44,0.41,13567.1,958.1,1354.5,628,180.829,6.8,1.8,886.0,4.38,63.5,181.83666666666667
2020-05-01,583199,753,16376.47,733,836.0,80,312,5.3,52.7,260047,91.6337770277386,3.2325,0.05,16423.4,4510.6,1557.2,696,217.015,5.933333333333334,0.9,1047.6666666666667,2.64,67.73333333333333,218.9812222222222
2005-05-01,603707,1644,26087.399,1714,1750.0,127,448,4.2,62.8,225670,100.535410113298,5.72,2.97,10799.8,302.0,1116.4,1286,169.35,9.833333333333334,1.8333333333333333,691.0,1.5633333333333337,68.66666666666666,171.0912222222222
2013-01-01,303792,590,8971.398,604,556.0,58,148,4.6,58.6,244663,99.8827951784429,3.414,0.09,12258.9,725.4,1192.6,446,146.827,8.6,2.1,827.0,9.74,65.0,148.191
2002-06-01,401920,1314,16779.971,1368,1281.0,171,328,4.2,62.7,217407,98.9946965176789,6.65,1.79,10078.5,507.4,968.0,957,121.812,8.8,1.7,645.0,2.12,67.86666666666666,122.7931111111111
2019-04-01,522630,786,18597.924,862,924.0,93,330,5.2,60.6,258693,100.368944840042,4.1425,2.41,14811.8,1443.7,1481.9,695,207.51,6.8,1.3,960.0,2.6,64.1,208.1146666666667
2012-10-01,294197,570,10656.201,611,525.0,53,149,5.2,58.8,243983,99.9224864399099,3.3825,0.15,12538.2,1096.1,1141.2,358,143.602,8.7,1.9,823.0,10.02,65.4,144.56366666666668
2001-08-01,369000,1241,15803.327,1286,1281.0,234,310,4.4,63.2,215420,99.534156653294,6.95,3.79,9982.1,529.7,942.5,866,114.167,8.533333333333333,1.8666666666666667,638.0,2.2066666666666666,68.06666666666666,114.72888888888887
2020-07-01,609849,993,22757.801,995,950.0,97,291,3.6,55.2,260373,95.4300025971101,3.016,0.08,16372.2,3487.9,1780.1,1019,219.448,6.4,0.9,1051.0,2.84,67.4,222.623
2011-07-01,249770,416,7372.238,432,488.0,48,165,6.7,58.2,239671,99.5179641653151,4.545,0.08,12128.6,819.5,1085.7,296,139.73,9.8,2.4,798.0,10.51,66.3,139.23566666666667
2000-01-01,353065,1277,9982.312,1268,1262.0,304,310,4.3,64.6,211410,101.517997878023,8.21,3.99,9309.1,358.9,908.6,873,100.551,7.9,1.6,603.0,1.95,67.1,101.33866666666668
2016-12-01,512328,830,13445.147,822,771.0,94,257,6.5,59.7,254742,99.7177440953961,4.198,0.41,13685.3,938.5,1377.0,561,185.726,6.966666666666667,1.7333333333333334,904.0,3.98,63.63333333333333,186.4954444444444
2007-05-01,514131,1042,19601.841,1130,1278.0,97,544,7.8,63.0,231480,101.496394938922,6.262,5.26,11495.5,381.6,1197.7,842,181.6,9.6,2.6333333333333333,738.3333333333334,2.43,68.2,180.5015555555556
2015-02-01,410055,635,10539.305,586,605.0,65,201,4.4,59.2,249899,100.588307318958,3.71,0.06,13271.8,1103.4,1276.7,540,169.132,7.0,1.8666666666666667,854.6666666666666,6.1000000000000005,63.6,169.75355555555555
2017-05-01,536314,779,19059.86,793,791.0,89,269,4.7,60.1,254767,99.6607278699849,4.01,0.91,13957.3,1157.0,1371.6,635,189.622,7.366666666666666,1.5333333333333334,909.0,3.666666666666667,63.766666666666666,190.625
2007-03-01,527865,1147,18519.259,1202,1312.0,98,542,7.9,63.3,231034,101.344875667866,6.156,5.31,11475.0,402.2,1178.5,833,184.149,9.7,2.6666666666666665,734.3333333333334,2.22,68.26666666666667,182.55455555555557
2002-01-01,377631,1285,12240.622,1318,1324.0,194,313,4.2,62.7,216506,99.1214399859149,6.9975,1.52,9951.9,451.1,970.7,880,117.143,9.1,1.7,645.0,2.24,67.8,117.89133333333332
2004-02-01,500439,1564,16635.291,1481,1447.0,123,366,3.7,62.3,222357,99.5999623063464,5.635,1.03,10491.3,426.3,1065.2,1159,143.191,10.333333333333334,1.7,678.6666666666666,1.6333333333333333,68.8,144.93544444444444
2013-09-01,339977,618,11443.071,577,577.0,62,185,5.9,58.7,246168,99.9412121201177,4.49,0.07,12431.5,819.0,1188.3,403,158.227,8.233333333333333,2.033333333333333,830.0,8.42,65.23333333333333,159.046
2011-09-01,250152,425,7483.411,418,426.0,56,163,6.3,58.4,240071,99.6383429443852,4.106,0.08,12104.0,782.7,1101.3,304,138.66899999999998,9.533333333333331,2.333333333333333,802.6666666666666,10.343333333333334,66.1,137.9187777777778
2000-12-01,344139,1180,10212.613,1226,1227.0,176,301,3.6,64.4,213736,101.022180351663,7.382,6.6,9647.6,337.9,913.5,983,109.14,8.066666666666666,1.5333333333333334,618.0,2.306666666666666,67.5,109.74766666666666
2020-10-01,684180,1141,23846.574,1162,898.0,100,284,3.5,57.4,260925,97.572373545001,2.834,0.09,15729.1,2462.2,1826.1,1027,229.888,6.5,1.0,1029.0,2.74,65.82250308016374,233.1913333333333
2016-10-01,496403,779,14978.213,871,762.0,84,250,5.5,59.7,254321,99.7770860661539,3.47,0.29,13627.7,987.9,1362.6,575,183.756,6.9,1.8,896.0,4.14,63.7,184.749
2001-08-01,369000,1241,15803.327,1286,1281.0,199,310,4.4,63.2,215420,99.534156653294,6.95,3.79,9982.1,529.7,942.5,866,114.167,8.533333333333333,1.8666666666666667,638.0,2.2066666666666666,68.06666666666666,114.72888888888887
2012-12-01,299101,589,8040.498,615,525.0,56,148,5.3,58.7,244350,99.8791872123189,3.345,0.16,13011.6,1523.4,1180.1,399,145.503,8.633333333333333,2.033333333333333,825.6666666666666,9.833333333333334,65.13333333333334,146.9818888888889
2000-05-01,349907,1182,15639.629,1230,1334.0,265,302,4.4,64.4,212242,101.771967723049,8.515,6.17,9457.3,351.1,907.0,857,103.677,8.066666666666666,1.5333333333333334,607.6666666666666,2.0166666666666666,67.36666666666667,104.37833333333332
2009-03-01,254645,361,5977.198,353,545.0,50,311,11.0,59.9,235086,97.92108414606,5.0025,0.22,11593.4,639.4,984.2,339,148.66,10.433333333333334,2.566666666666667,770.6666666666666,8.383333333333333,67.36666666666667,148.62733333333333
2001-11-01,375803,1229,12102.24,1244,1242.0,254,313,4.1,63.0,216117,99.1771419096053,6.658,2.61,9733.4,274.8,997.0,924,115.857,8.9,1.7666666666666666,643.0,2.2533333333333334,67.93333333333334,116.54644444444445
2019-03-01,517696,816,17028.186,833,961.0,91,331,4.8,60.6,258537,100.323689791685,4.265,2.4,14843.9,1476.6,1486.7,705,207.017,6.866666666666666,1.3333333333333333,958.0,2.63,64.13333333333333,207.6657777777778
2015-01-01,405105,667,10304.277,707,656.0,65,206,5.2,59.3,249723,100.565037138346,3.67,0.06,13224.7,1078.7,1273.3,515,168.634,7.1,1.9,856.0,6.24,63.7,169.189
2010-07-01,244354,411,7368.485,426,470.0,51,210,8.9,58.5,237890,99.5666976035147,4.564,0.17,11910.8,731.3,1047.5,283,144.99,10.3,2.5,780.0,10.66,66.9,143.97433333333333
2004-03-01,506879,1648,23804.718,1632,1491.0,133,375,3.6,62.2,222550,99.6129954760454,5.445,1.04,10533.6,418.7,1079.4,1276,145.059,10.266666666666666,1.7,681.3333333333334,1.6166666666666667,69.0,146.57222222222222
2010-04-01,254574,476,8591.019,566,556.0,54,216,6.2,58.7,237329,99.1356991286101,5.098,0.17,11799.8,702.0,1046.0,422,146.404,10.6,2.5,774.0,11.08,66.9,146.1726666666667
2009-09-01,254135,477,7776.282,510,481.0,48,254,7.8,58.7,236322,98.0204151092946,5.0575,0.15,11573.1,607.4,995.4,386,148.024,10.833333333333332,2.666666666666667,778.0,10.093333333333334,67.33333333333333,148.05933333333334
2019-05-01,528461,810,19811.438,814,885.0,93,334,5.9,60.6,258861,100.427889661879,4.072,2.45,14814.7,1403.9,1501.5,602,208.157,6.8,1.3333333333333333,965.0,2.546666666666667,64.33333333333333,208.7913333333333
2016-01-01,456468,733,10899.925,765,668.0,78,235,6.1,59.7,252397,100.031414439498,3.8725,0.2,13531.6,1070.4,1320.2,505,177.27200000000002,7.0,1.7,878.0,4.78,63.5,177.69733333333338
2004-11-01,550392,1572,18845.254,1458,1464.0,135,423,4.3,62.5,224422,100.189089830422,5.73,1.83,10677.3,345.5,1099.9,1179,157.52700000000002,10.033333333333331,1.8,693.3333333333334,1.413333333333333,69.16666666666667,159.51755555555556
2017-10-01,538409,850,17208.938,884,801.0,98,289,5.9,60.1,255766,100.025795312451,3.895,1.06,14049.5,1106.2,1428.3,626,194.82,6.9,1.6,902.0,3.57,64.2,195.98466666666664
2004-05-01,522534,1675,23402.266,1652,1505.0,129,379,3.8,62.3,222967,99.6709506081368,6.27,1.03,10623.3,454.8,1091.5,1241,148.185,10.166666666666666,1.7,683.0,1.586666666666667,69.13333333333334,149.71166666666667
2002-09-01,394820,1366,15593.847,1446,1331.0,162,332,3.9,63.0,218107,98.6924960818916,6.0925,1.81,10068.3,482.0,983.9,1044,124.779,9.2,1.7,649.3333333333334,2.033333333333333,68.2,125.72755555555555
2013-08-01,335690,631,12981.958,631,571.0,61,177,5.7,58.7,245959,99.9373416933275,4.456,0.08,12379.6,802.3,1187.7,381,156.965,8.266666666666667,1.9666666666666663,825.0,8.540000000000001,65.26666666666667,157.98899999999998
2012-01-01,251869,464,6208.492,518,392.0,59,148,6.3,58.4,242269,100.106292242065,3.915,0.04,12311.1,953.0,1130.4,335,136.608,8.8,2.2,815.0,10.33,65.4,137.01533333333333
